iterations,fitness,time,fevals
0,550.0,12.305597241,1000
10,571.0,24.380326661,2100
20,629.0,35.62032829,3200
30,673.0,45.924759674,4300
40,701.0,55.89988864,5400
50,734.0,65.404686882,6500
60,746.0,74.576893062,7600
70,752.0,83.676481265,8700
80,756.0,92.50327122,9800
90,756.0,101.289946595,10900
100,756.0,110.074315867,12000
110,762.0,119.188750524,13100
120,758.0,128.042650553,14200
130,758.0,136.806509263,15300
140,764.0,145.420721462,16400
150,760.0,154.009419732,17500
160,760.0,162.441956463,18600
170,760.0,170.871505628,19700
180,762.0,179.335682394,20800
190,766.0,188.042120778,21900
200,764.0,196.990724874,23000
210,762.0,205.553496019,24100
220,762.0,214.3075656,25200
230,764.0,223.070381589,26300
240,768.0,231.734274853,27400
250,764.0,240.243791994,28500
260,766.0,248.890326265,29600
270,768.0,257.408777543,30700
280,766.0,266.093462754,31800
290,766.0,275.454760025,32900
300,762.0,284.126289672,34000
310,764.0,292.72092526,35100
320,766.0,301.274308501,36200
330,768.0,309.64200534,37300
340,766.0,318.217415001,38400
350,770.0,326.885469099,39500
360,766.0,335.378071164,40600
370,770.0,344.237982931,41700
380,770.0,353.303476526,42800
390,766.0,362.091455512,43900
400,770.0,370.801920993,45000
410,772.0,379.427406242,46100
420,770.0,388.026003607,47200
430,770.0,396.763569663,48300
440,772.0,405.300379258,49400
450,774.0,413.904463791,50500
460,774.0,423.108279827,51600
470,774.0,432.178566257,52700
480,770.0,440.81098524,53800
490,770.0,449.295870588,54900
500,772.0,457.766994275,56000
510,770.0,466.402806135,57100
520,774.0,475.002876057,58200
530,772.0,483.66500903,59300
540,772.0,492.276617041,60400
550,774.0,500.808907126,61500
560,770.0,509.770005272,62600
570,772.0,518.425496604,63700
580,774.0,527.08473036,64800
590,772.0,535.662808529,65900
600,772.0,544.245034753,67000
610,772.0,552.834287192,68100
620,776.0,561.472469896,69200
630,770.0,569.997376846,70300
640,772.0,579.253374327,71400
650,776.0,588.036337891,72500
660,776.0,596.514595009,73600
670,776.0,605.107944418,74700
680,776.0,613.533025437,75800
690,774.0,622.324891321,76900
700,776.0,630.675818213,78000
710,772.0,639.504733558,79100
720,776.0,648.083861268,80200
730,776.0,657.209191092,81300
740,776.0,665.882218232,82400
750,778.0,674.528369502,83500
760,776.0,683.238559346,84600
770,778.0,691.790929156,85700
780,778.0,700.25313702,86800
790,784.0,708.969811954,87900
800,778.0,717.480668382,89000
810,778.0,726.11952555,90100
820,780.0,735.326751617,91200
830,778.0,744.0177352,92300
840,780.0,752.43698547,93400
850,780.0,760.946617366,94500
860,780.0,769.396452884,95600
870,780.0,777.89123498,96700
880,780.0,786.262864127,97800
890,782.0,794.935390079,98900
900,782.0,803.934361983,100000
910,780.0,812.742476095,101100
920,778.0,821.335328272,102200
930,780.0,829.931469822,103300
940,782.0,838.532246212,104400
950,780.0,847.184108065,105500
960,780.0,855.93208233,106600
970,782.0,864.436117555,107700
980,782.0,873.024504061,108800
990,780.0,881.894401,109900
1000,780.0,890.649116931,111000
1010,782.0,899.116121581,112100
1020,780.0,907.554398964,113200
1030,780.0,916.069948813,114300
1040,778.0,924.463688074,115400
1050,780.0,932.81265097,116500
1060,784.0,941.678470955,117600
1070,782.0,950.498509936,118700
1080,782.0,959.282978853,119800
1090,784.0,968.281625634,120900
1100,784.0,976.857974665,122000
1110,782.0,985.644484696,123100
1120,784.0,994.418441319,124200
1130,784.0,1002.91846904,125300
1140,784.0,1011.34385753,126400
1150,784.0,1020.06330961,127500
1160,786.0,1028.47674263,128600
1170,784.0,1036.70628796,129700
1180,784.0,1045.58933396,130800
1190,782.0,1054.19470529,131900
1200,784.0,1062.73940958,133000
1210,784.0,1071.35587798,134100
1220,784.0,1079.85242699,135200
1230,786.0,1088.31401851,136300
1240,784.0,1096.8871787,137400
1250,782.0,1105.60511311,138500
1260,782.0,1114.28946874,139600
1270,786.0,1123.05322601,140700
1280,782.0,1131.88637296,141800
1290,784.0,1140.41421029,142900
1300,784.0,1148.83946195,144000
1310,782.0,1157.53942317,145100
1320,784.0,1166.08201598,146200
1330,784.0,1174.49642886,147300
1340,784.0,1182.83652416,148400
1350,784.0,1191.68303021,149500
1360,782.0,1200.19920064,150600
1370,784.0,1209.15539369,151700
1380,784.0,1217.92789969,152800
1390,782.0,1226.4525664,153900
1400,786.0,1235.12875151,155000
1410,784.0,1243.82975235,156100
1420,782.0,1252.15959402,157200
1430,782.0,1260.98534125,158300
1440,784.0,1270.06576651,159400
1450,784.0,1278.72478558,160500
1460,784.0,1287.09772246,161600
1470,786.0,1295.67890069,162700
1480,784.0,1304.17180794,163800
1490,782.0,1312.57294979,164900
1500,784.0,1321.2624884,166000
1510,786.0,1329.93906369,167100
1520,782.0,1338.57846577,168200
1530,784.0,1347.65409806,169300
1540,784.0,1356.47379904,170400
1550,784.0,1365.18984017,171500
1560,784.0,1373.67835881,172600
1570,784.0,1382.29853187,173700
1580,782.0,1390.77012648,174800
1590,784.0,1399.2418658,175900
1600,784.0,1407.75842347,177000
1610,784.0,1416.22476847,178100
1620,784.0,1424.80532433,179200
1630,784.0,1433.92019212,180300
1640,782.0,1442.47974962,181400
1650,786.0,1451.1762857,182500
1660,782.0,1459.71570511,183600
1670,784.0,1468.39737151,184700
1680,784.0,1476.94197096,185800
1690,784.0,1485.31550784,186900
1700,782.0,1493.73852172,188000
1710,782.0,1502.81807848,189100
1720,784.0,1511.85088609,190200
1730,782.0,1520.21665173,191300
1740,782.0,1528.86871239,192400
1750,782.0,1537.45796095,193500
1760,782.0,1545.70472796,194600
1770,782.0,1554.13885812,195700
1780,782.0,1562.89893619,196800
1790,784.0,1571.61620887,197900
1800,784.0,1580.20215047,199000
1810,782.0,1588.63019751,200100
1820,784.0,1597.31823399,201200
1830,784.0,1605.71858253,202300
1840,782.0,1614.32809598,203400
1850,784.0,1623.21682678,204500
1860,782.0,1631.96960455,205600
1870,784.0,1640.62752047,206700
1880,780.0,1649.10866898,207800
1890,784.0,1657.54564799,208900
1900,786.0,1665.94852285,210000
1910,786.0,1674.63484386,211100
1920,786.0,1683.22258103,212200
1930,786.0,1691.74145444,213300
1940,786.0,1700.41550559,214400
1950,784.0,1708.97277947,215500
1960,786.0,1717.71955278,216600
1970,786.0,1726.31933288,217700
1980,784.0,1734.7757543,218800
1990,784.0,1743.31875659,219900
2000,786.0,1751.95070945,221000
2010,784.0,1760.45223863,222100
2020,786.0,1769.18180773,223200
2030,786.0,1778.12213599,224300
2040,786.0,1786.73000045,225400
2050,786.0,1795.07195525,226500
2060,784.0,1803.63667314,227600
2070,786.0,1812.33048905,228700
2080,784.0,1820.84606205,229800
2090,786.0,1829.45372165,230900
2100,786.0,1838.14433765,232000
2110,786.0,1846.70859099,233100
2120,786.0,1855.89859281,234200
2130,786.0,1864.54120031,235300
2140,786.0,1873.06441172,236400
2150,786.0,1881.45172383,237500
2160,784.0,1889.79391019,238600
2170,786.0,1898.39600549,239700
2180,784.0,1906.74906381,240800
2190,786.0,1915.19848144,241900
2200,786.0,1923.58073227,243000
2210,786.0,1932.81484608,244100
2220,786.0,1941.47169381,245200
2230,786.0,1950.1586375,246300
2240,784.0,1958.79946962,247400
2250,784.0,1967.35508232,248500
2260,788.0,1976.095859,249600
2270,786.0,1984.5326385,250700
2280,786.0,1993.16699282,251800
2290,788.0,2001.59907163,252900
2300,784.0,2010.88223546,254000
2310,790.0,2019.39594985,255100
2320,784.0,2028.22272566,256200
2330,784.0,2036.84077787,257300
2340,786.0,2045.42949715,258400
2350,786.0,2053.91319013,259500
2360,786.0,2062.36354146,260600
