iterations,fitness,time,fevals
0,536.0,0.002856687,429
10,538.0,0.006506247,763
20,540.0,0.009027239,1107
30,542.0,0.01169539,1444
40,542.0,0.013995149,1784
50,542.0,0.016143251,2116
60,541.0,0.01945998,2449
70,537.0,0.021737559,2781
80,540.0,0.023670599,3113
90,538.0,0.026518327,3455
100,539.0,0.028404774,3778
110,537.0,0.030636724,4106
120,542.0,0.033234527,4437
130,544.0,0.035216333,4762
140,536.0,0.037335913,5092
150,542.0,0.039768104,5423
160,544.0,0.041675267,5759
170,548.0,0.044148887,6098
180,545.0,0.046759859,6439
190,548.0,0.04884845,6777
200,549.0,0.051834077,7106
210,552.0,0.05415134,7440
220,550.0,0.056221849,7782
230,550.0,0.060782397,8122
240,552.0,0.062655012,8456
250,552.0,0.064479969,8785
260,548.0,0.066988171,9112
270,548.0,0.068802409,9443
280,546.0,0.070584002,9778
290,546.0,0.072974781,10117
300,546.0,0.074822799,10456
310,549.0,0.076825804,10785
320,550.0,0.079174481,11126
330,556.0,0.08140305,11464
340,560.0,0.083599239,11799
350,554.0,0.086126866,12137
360,556.0,0.087990284,12468
370,556.0,0.089789016,12811
380,560.0,0.092249749,13151
390,556.0,0.094279366,13494
400,560.0,0.096418488,13832
410,554.0,0.098687139,14159
420,554.0,0.100641386,14488
430,560.0,0.102410524,14822
440,554.0,0.104175993,15164
450,552.0,0.106557659,15498
460,554.0,0.108352157,15831
470,552.0,0.110103831,16168
480,554.0,0.113043469,16498
490,552.0,0.115295166,16835
500,558.0,0.117196713,17163
510,560.0,0.11972108,17498
520,560.0,0.121501858,17832
530,552.0,0.123379507,18165
540,552.0,0.125689114,18499
550,556.0,0.127557873,18833
560,552.0,0.129317909,19164
570,552.0,0.131524253,19496
580,557.0,0.133724994,19831
590,559.0,0.135818438,20164
600,563.0,0.137760865,20511
610,565.0,0.139898388,20848
620,561.0,0.141688552,21184
630,565.0,0.144027908,21506
640,563.0,0.146413922,21845
650,563.0,0.148150996,22180
660,567.0,0.152684368,22509
670,563.0,0.154628737,22839
680,563.0,0.156949563,23176
690,565.0,0.159555633,23505
700,567.0,0.161570425,23852
710,563.0,0.163322215,24181
720,563.0,0.165772284,24521
730,563.0,0.16755346,24852
740,553.0,0.169896997,25198
750,553.0,0.172599639,25527
760,553.0,0.174606752,25865
770,559.0,0.176915541,26183
780,559.0,0.179360306,26511
790,561.0,0.181112486,26837
800,561.0,0.183407709,27162
810,561.0,0.186073603,27503
820,561.0,0.187922739,27844
830,561.0,0.189721482,28174
840,563.0,0.192216141,28521
850,563.0,0.193989155,28847
860,565.0,0.195961729,29179
870,565.0,0.198160694,29512
880,565.0,0.200141129,29846
890,563.0,0.201904968,30180
900,559.0,0.203710501,30512
910,563.0,0.2064552,30850
920,561.0,0.208544831,31191
930,563.0,0.21078698,31529
940,563.0,0.212782737,31865
950,565.0,0.214618003,32209
960,565.0,0.21657463,32536
970,563.0,0.218825382,32868
980,562.0,0.220719365,33196
990,567.0,0.222530971,33525
1000,569.0,0.22497694,33852
1010,565.0,0.226903466,34185
1020,563.0,0.22866541,34513
1030,567.0,0.231084082,34850
1040,565.0,0.232994748,35169
1050,567.0,0.234967466,35500
1060,569.0,0.237544025,35835
1070,569.0,0.239999142,36176
1080,569.0,0.241810526,36513
1090,569.0,0.246373298,36853
1100,567.0,0.248436687,37189
1110,564.0,0.250441257,37520
1120,566.0,0.253059635,37850
1130,566.0,0.25491366,38171
1140,563.0,0.257352274,38500
1150,565.0,0.25945179,38840
1160,561.0,0.261884907,39166
1170,557.0,0.264311099,39506
1180,555.0,0.26633107,39837
1190,557.0,0.26842898,40177
1200,561.0,0.271425829,40517
1210,559.0,0.273348907,40841
1220,559.0,0.275475075,41173
1230,563.0,0.277628142,41514
1240,569.0,0.279543009,41852
1250,563.0,0.281386212,42194
1260,567.0,0.283194506,42527
1270,565.0,0.285256782,42870
1280,565.0,0.287739545,43213
1290,569.0,0.289708289,43536
1300,567.0,0.292033282,43879
1310,569.0,0.293780835,44209
1320,571.0,0.295604344,44545
1330,569.0,0.297649997,44882
1340,567.0,0.30031915,45224
1350,563.0,0.302941683,45547
1360,561.0,0.304918988,45889
1370,559.0,0.306712042,46229
1380,559.0,0.308436161,46553
1390,559.0,0.310423587,46892
1400,557.0,0.312248748,47229
1410,561.0,0.314529335,47564
1420,557.0,0.316695482,47898
1430,555.0,0.318451612,48231
1440,557.0,0.320199664,48551
1450,559.0,0.321992972,48887
1460,557.0,0.324161598,49224
1470,557.0,0.326384612,49561
1480,557.0,0.328194268,49881
1490,555.0,0.330764283,50205
1500,557.0,0.333245705,50537
1510,561.0,0.335081459,50865
1520,565.0,0.339204752,51204
1530,565.0,0.341104989,51548
1540,563.0,0.343416063,51889
1550,563.0,0.345396867,52227
1560,563.0,0.347237659,52569
1570,571.0,0.349054804,52920
1580,573.0,0.351232122,53257
1590,563.0,0.35330394,53597
1600,557.0,0.355169849,53929
1610,561.0,0.357624482,54275
1620,559.0,0.359639619,54615
1630,557.0,0.361664797,54952
1640,565.0,0.364183435,55281
1650,561.0,0.36602124,55627
1660,561.0,0.367830598,55971
1670,563.0,0.369646649,56309
1680,565.0,0.371467799,56634
1690,563.0,0.373337516,56966
1700,561.0,0.37529326,57297
1710,561.0,0.377756584,57635
1720,561.0,0.379728907,57964
1730,561.0,0.381547371,58300
1740,563.0,0.383608134,58632
1750,563.0,0.385521521,58971
1760,569.0,0.387290544,59306
1770,567.0,0.389155093,59650
1780,567.0,0.391561494,59981
1790,563.0,0.394047962,60303
1800,565.0,0.396393995,60630
1810,563.0,0.398203796,60958
1820,563.0,0.400008893,61292
1830,561.0,0.401910479,61622
1840,559.0,0.404184179,61952
1850,559.0,0.406142069,62283
1860,563.0,0.407910769,62609
1870,567.0,0.40985689,62945
1880,565.0,0.411728709,63267
1890,565.0,0.413707611,63601
1900,559.0,0.416189941,63938
1910,555.0,0.418525646,64270
1920,555.0,0.4203976,64606
1930,549.0,0.422227142,64938
1940,549.0,0.42439916,65267
1950,551.0,0.426678843,65595
1960,555.0,0.431189752,65928
1970,555.0,0.432999924,66256
1980,555.0,0.43524101,66587
1990,559.0,0.437332216,66913
2000,559.0,0.439231454,67252
2010,559.0,0.441090892,67588
2020,559.0,0.443013409,67918
2030,559.0,0.444992242,68244
2040,557.0,0.446750531,68585
