iterations,fitness,time,fevals
0,28.0,0.104065071,1000
10,34.0,0.205903945,2100
20,35.0,0.304274713,3200
30,39.0,0.396135283,4300
40,41.0,0.487158576,5400
50,43.0,0.569543182,6500
60,45.0,0.648260211,7600
70,44.0,0.724007041,8700
80,44.0,0.803310423,9800
90,43.0,0.879830745,10900
100,45.0,0.95869463,12000
110,45.0,1.039796652,13100
120,45.0,1.113749735,14200
130,46.0,1.198130444,15300
140,45.0,1.275001197,16400
150,51.0,1.350376587,17500
160,51.0,1.429032217,18600
170,52.0,1.505324987,19700
180,48.0,1.584516289,20800
190,60.0,1.661498769,21900
200,50.0,1.737639104,23000
210,55.0,1.815791059,24100
220,51.0,1.895410328,25200
230,51.0,1.976582271,26300
240,54.0,2.053374376,27400
250,52.0,2.131050293,28500
260,55.0,2.207429889,29600
270,51.0,2.285959807,30700
280,59.0,2.365213432,31800
290,51.0,2.440252754,32900
300,52.0,2.512540474,34000
310,51.0,2.586973424,35100
320,51.0,2.662659671,36200
330,52.0,2.743255787,37300
340,51.0,2.813501331,38400
350,51.0,2.8925513,39500
360,51.0,2.969924304,40600
370,56.0,3.046689674,41700
380,53.0,3.122397388,42800
390,52.0,3.199668565,43900
400,56.0,3.274035494,45000
410,53.0,3.343797671,46100
420,53.0,3.419894942,47200
430,52.0,3.496930676,48300
440,54.0,3.574358517,49400
450,54.0,3.647444817,50500
460,51.0,3.722609767,51600
470,52.0,3.792908139,52700
480,57.0,3.867166342,53800
490,53.0,3.94642338,54900
500,53.0,4.019463236,56000
510,54.0,4.093701373,57100
520,52.0,4.166498533,58200
530,52.0,4.239276514,59300
540,55.0,4.3096712,60400
550,58.0,4.388671748,61500
560,52.0,4.462953133,62600
570,59.0,4.538985151,63700
580,54.0,4.614004871,64800
590,54.0,4.689198345,65900
600,53.0,4.767350656,67000
610,52.0,4.838302184,68100
620,51.0,4.91234671,69200
630,53.0,4.9879433,70300
640,52.0,5.060486514,71400
650,55.0,5.135042036,72500
660,57.0,5.209256491,73600
670,54.0,5.285249413,74700
680,53.0,5.361990186,75800
690,60.0,5.440766489,76900
700,58.0,5.514635097,78000
710,52.0,5.592312604,79100
720,58.0,5.666759394,80200
730,52.0,5.742979306,81300
740,53.0,5.823939225,82400
750,52.0,5.899190046,83500
760,53.0,5.977558014,84600
770,59.0,6.051675167,85700
780,59.0,6.126830357,86800
790,52.0,6.204528458,87900
800,53.0,6.276634312,89000
810,61.0,6.350743259,90100
820,53.0,6.425572102,91200
830,56.0,6.507101305,92300
840,54.0,6.582372523,93400
850,55.0,6.652443168,94500
860,55.0,6.729224041,95600
870,58.0,6.803095805,96700
880,61.0,6.874324262,97800
890,58.0,6.959755667,98900
900,53.0,7.034586386,100000
910,56.0,7.108708366,101100
920,54.0,7.179717182,102200
930,52.0,7.258589584,103300
940,52.0,7.332806896,104400
950,53.0,7.408644835,105500
960,52.0,7.483233825,106600
970,51.0,7.558638546,107700
980,53.0,7.62958068,108800
990,53.0,7.705189821,109900
1000,52.0,7.775909125,111000
1010,62.0,7.846919751,112100
1020,53.0,7.925447931,113200
1030,58.0,8.002342063,114300
1040,53.0,8.079417066,115400
1050,51.0,8.156048086,116500
1060,53.0,8.230597232,117600
1070,52.0,8.305325812,118700
1080,52.0,8.38267828,119800
1090,52.0,8.457510873,120900
1100,55.0,8.533246975,122000
1110,52.0,8.609962415,123100
1120,52.0,8.690139615,124200
1130,53.0,8.785314944,125300
1140,55.0,8.868897838,126400
1150,57.0,8.94858559,127500
1160,52.0,9.037531139,128600
1170,54.0,9.11998619,129700
1180,53.0,9.196528273,130800
1190,52.0,9.269846843,131900
1200,52.0,9.345645742,133000
1210,54.0,9.425528056,134100
1220,53.0,9.503737798,135200
1230,58.0,9.577910363,136300
1240,51.0,9.664271849,137400
1250,52.0,9.754000739,138500
1260,55.0,9.839167777,139600
1270,53.0,9.92599195,140700
1280,59.0,10.007055803,141800
1290,59.0,10.095873921,142900
1300,55.0,10.180282289,144000
1310,60.0,10.272126231,145100
1320,60.0,10.357632275,146200
1330,53.0,10.440845752,147300
1340,53.0,10.513591059,148400
1350,58.0,10.592957915,149500
1360,57.0,10.66800357,150600
1370,57.0,10.744894782,151700
1380,57.0,10.82233796,152800
1390,62.0,10.914594904,153900
1400,59.0,10.996554634,155000
1410,56.0,11.06922764,156100
1420,57.0,11.143974704,157200
1430,54.0,11.221246121,158300
1440,60.0,11.295729299,159400
1450,64.0,11.381342142,160500
1460,54.0,11.482821233,161600
1470,60.0,11.573988165,162700
1480,61.0,11.659340451,163800
1490,61.0,11.73357025,164900
1500,58.0,11.81023637,166000
1510,56.0,11.882410352,167100
1520,55.0,11.95593992,168200
1530,60.0,12.031315628,169300
1540,57.0,12.108310987,170400
1550,61.0,12.187772658,171500
1560,53.0,12.26910124,172600
1570,60.0,12.352423489,173700
1580,57.0,12.447787804,174800
1590,57.0,12.53541302,175900
1600,55.0,12.609993879,177000
1610,60.0,12.692118706,178100
1620,59.0,12.765545497,179200
1630,53.0,12.837064549,180300
1640,57.0,12.911419381,181400
1650,60.0,12.988449995,182500
1660,64.0,13.066120752,183600
1670,57.0,13.137696736,184700
1680,55.0,13.211187364,185800
1690,54.0,13.289143619,186900
1700,56.0,13.361644356,188000
1710,57.0,13.436818125,189100
1720,59.0,13.512140757,190200
1730,55.0,13.58902354,191300
1740,54.0,13.658382964,192400
1750,67.0,13.72839816,193500
1760,54.0,13.79959446,194600
1770,56.0,13.871973005,195700
1780,57.0,13.94654124,196800
1790,57.0,14.025607212,197900
1800,56.0,14.097904358,199000
1810,62.0,14.175931011,200100
1820,57.0,14.249656558,201200
1830,61.0,14.327400964,202300
1840,62.0,14.40219861,203400
1850,59.0,14.479379989,204500
1860,56.0,14.555417818,205600
1870,53.0,14.633402889,206700
1880,64.0,14.711388926,207800
1890,65.0,14.792873753,208900
1900,67.0,14.872183673,210000
1910,65.0,14.953712794,211100
1920,64.0,15.026981483,212200
1930,63.0,15.099377422,213300
1940,65.0,15.17469556,214400
1950,69.0,15.250525833,215500
1960,65.0,15.328171894,216600
1970,65.0,15.404429918,217700
1980,62.0,15.480701922,218800
1990,64.0,15.558091559,219900
2000,66.0,15.634227667,221000
2010,62.0,15.713153067,222100
2020,66.0,15.788405167,223200
2030,66.0,15.864996266,224300
2040,67.0,15.937251364,225400
2050,66.0,16.015153922,226500
2060,64.0,16.092110491,227600
2070,66.0,16.169172522,228700
2080,65.0,16.246179611,229800
2090,65.0,16.31837805,230900
2100,66.0,16.387769539,232000
2110,62.0,16.462197893,233100
2120,62.0,16.536055995,234200
2130,65.0,16.613974853,235300
2140,66.0,16.688766233,236400
2150,64.0,16.760588992,237500
2160,66.0,16.834103653,238600
2170,65.0,16.91199912,239700
2180,66.0,16.983612309,240800
2190,64.0,17.052867297,241900
2200,63.0,17.133848259,243000
2210,62.0,17.208686529,244100
2220,64.0,17.283523756,245200
2230,62.0,17.359875995,246300
