iterations,fitness,time,fevals
0,21.0,0.111070504,1000
10,23.0,0.213938776,2100
20,31.0,0.317956167,3200
30,35.0,0.413807962,4300
40,40.0,0.501952175,5400
50,44.0,0.587180887,6500
60,45.0,0.675641935,7600
70,43.0,0.757766172,8700
80,42.0,0.840591726,9800
90,42.0,0.927145596,10900
100,43.0,1.011210935,12000
110,43.0,1.090324107,13100
120,43.0,1.171714051,14200
130,42.0,1.255404347,15300
140,43.0,1.335221487,16400
150,41.0,1.41309024,17500
160,43.0,1.492804074,18600
170,44.0,1.571486348,19700
180,43.0,1.653465736,20800
190,45.0,1.731291929,21900
200,45.0,1.81087854,23000
210,45.0,1.89477895,24100
220,66.0,1.975017456,25200
230,46.0,2.053362841,26300
240,47.0,2.134039035,27400
250,57.0,2.215819171,28500
260,54.0,2.302374655,29600
270,66.0,2.387026221,30700
280,59.0,2.474878875,31800
290,57.0,2.560548208,32900
300,70.0,2.652550697,34000
310,59.0,2.738368793,35100
320,62.0,2.825725401,36200
330,62.0,2.904007765,37300
340,61.0,2.982204216,38400
350,61.0,3.064906276,39500
360,62.0,3.148003539,40600
370,62.0,3.225892157,41700
380,61.0,3.304993292,42800
390,63.0,3.385921742,43900
400,62.0,3.469012368,45000
410,61.0,3.550367567,46100
420,62.0,3.632172122,47200
430,61.0,3.710969885,48300
440,61.0,3.786265016,49400
450,62.0,3.867080831,50500
460,61.0,3.947321152,51600
470,62.0,4.029774769,52700
480,61.0,4.11115438,53800
490,61.0,4.192122637,54900
500,60.0,4.271623855,56000
510,63.0,4.350094804,57100
520,60.0,4.429673074,58200
530,63.0,4.509115746,59300
540,61.0,4.591357323,60400
550,61.0,4.664765456,61500
560,62.0,4.746671373,62600
570,63.0,4.821102316,63700
580,61.0,4.901968496,64800
590,62.0,4.982168755,65900
600,62.0,5.057516934,67000
610,62.0,5.136906225,68100
620,69.0,5.21940295,69200
630,61.0,5.302592844,70300
640,60.0,5.385309205,71400
650,63.0,5.466935834,72500
660,60.0,5.544922407,73600
670,63.0,5.624531039,74700
680,61.0,5.70835792,75800
690,62.0,5.784106275,76900
700,63.0,5.866904397,78000
710,61.0,5.944699058,79100
720,60.0,6.025761504,80200
730,60.0,6.10768328,81300
740,61.0,6.18546699,82400
750,62.0,6.266065687,83500
760,62.0,6.350375066,84600
770,60.0,6.434668364,85700
780,62.0,6.51305752,86800
790,60.0,6.588333884,87900
800,60.0,6.672357315,89000
810,59.0,6.754996077,90100
820,60.0,6.832796538,91200
830,62.0,6.916549368,92300
840,60.0,6.997947085,93400
850,60.0,7.075900929,94500
860,61.0,7.1535875,95600
870,61.0,7.233832406,96700
880,62.0,7.315157078,97800
890,62.0,7.397773006,98900
900,61.0,7.477705521,100000
910,61.0,7.550952705,101100
920,61.0,7.627917706,102200
930,61.0,7.701356567,103300
940,62.0,7.78678973,104400
950,62.0,7.865214146,105500
960,61.0,7.940763518,106600
970,60.0,8.022933623,107700
980,61.0,8.104824171,108800
990,63.0,8.181520613,109900
1000,62.0,8.258746866,111000
1010,61.0,8.338534619,112100
1020,62.0,8.416308679,113200
1030,61.0,8.500466226,114300
1040,61.0,8.579971525,115400
1050,62.0,8.658699045,116500
1060,61.0,8.736550408,117600
1070,61.0,8.817121829,118700
1080,62.0,8.900355974,119800
1090,61.0,8.982184043,120900
1100,61.0,9.05635475,122000
1110,60.0,9.131757767,123100
1120,61.0,9.214276838,124200
1130,61.0,9.294573468,125300
1140,60.0,9.37651406,126400
1150,61.0,9.451694035,127500
1160,60.0,9.5311465,128600
1170,61.0,9.606857683,129700
1180,61.0,9.690025384,130800
1190,60.0,9.766247664,131900
1200,60.0,9.842270226,133000
1210,60.0,9.92365253,134100
1220,60.0,10.003930208,135200
1230,63.0,10.082442342,136300
1240,60.0,10.164000804,137400
1250,61.0,10.254202071,138500
1260,62.0,10.340400824,139600
1270,61.0,10.425032457,140700
1280,62.0,10.50956868,141800
1290,62.0,10.586804505,142900
1300,62.0,10.676796037,144000
1310,61.0,10.752469309,145100
1320,62.0,10.834877596,146200
1330,61.0,10.911844798,147300
1340,61.0,10.992418066,148400
1350,64.0,11.070927446,149500
1360,60.0,11.151313539,150600
1370,65.0,11.234668944,151700
1380,62.0,11.312006252,152800
1390,61.0,11.387251623,153900
1400,62.0,11.463464697,155000
1410,62.0,11.538630941,156100
1420,62.0,11.620561862,157200
1430,63.0,11.700641122,158300
1440,63.0,11.784713821,159400
1450,62.0,11.864084573,160500
1460,60.0,11.946944739,161600
1470,61.0,12.027799509,162700
1480,61.0,12.103036664,163800
1490,62.0,12.184181511,164900
