iterations,fitness,time,fevals
0,22.0,0.107850917,1000
10,28.0,0.209110362,2100
20,33.0,0.298968431,3200
30,32.0,0.389553385,4300
40,32.0,0.466565622,5400
50,34.0,0.544479542,6500
60,32.0,0.617851178,7600
70,34.0,0.700424371,8700
80,33.0,0.781769401,9800
90,34.0,0.861339639,10900
100,33.0,0.937153772,12000
110,33.0,1.014565629,13100
120,34.0,1.092053965,14200
130,35.0,1.167530709,15300
140,33.0,1.24126479,16400
150,33.0,1.317132526,17500
160,33.0,1.395398989,18600
170,40.0,1.469532337,19700
180,34.0,1.545840662,20800
190,34.0,1.622823254,21900
200,34.0,1.700694649,23000
210,34.0,1.779620024,24100
220,35.0,1.859896743,25200
230,35.0,1.939766849,26300
240,37.0,2.017578766,27400
250,46.0,2.096975469,28500
260,36.0,2.182153611,29600
270,36.0,2.258564166,30700
280,36.0,2.337524005,31800
290,36.0,2.41240695,32900
300,35.0,2.493346241,34000
310,36.0,2.571790686,35100
320,36.0,2.650080426,36200
330,36.0,2.727546583,37300
340,36.0,2.802586184,38400
350,36.0,2.881053643,39500
360,37.0,2.959687234,40600
370,36.0,3.037404017,41700
380,36.0,3.121736152,42800
390,36.0,3.195972451,43900
400,36.0,3.269068045,45000
410,36.0,3.349108826,46100
420,36.0,3.425109569,47200
430,37.0,3.494599144,48300
440,36.0,3.574790725,49400
450,36.0,3.652336843,50500
460,36.0,3.733072424,51600
470,36.0,3.810593315,52700
480,36.0,3.888599023,53800
490,36.0,3.982290773,54900
500,36.0,4.06692614,56000
510,36.0,4.147191975,57100
520,36.0,4.225446959,58200
530,36.0,4.303055265,59300
540,36.0,4.387058562,60400
550,37.0,4.46674659,61500
560,37.0,4.543646644,62600
570,35.0,4.615165048,63700
580,35.0,4.690305797,64800
590,37.0,4.770526867,65900
600,37.0,4.845002872,67000
610,37.0,4.919765823,68100
620,35.0,4.996620521,69200
630,36.0,5.071336143,70300
640,36.0,5.148229652,71400
650,36.0,5.225286209,72500
660,36.0,5.303236686,73600
670,37.0,5.380227507,74700
680,36.0,5.457292494,75800
690,37.0,5.539693553,76900
700,35.0,5.614745249,78000
710,37.0,5.691913649,79100
720,36.0,5.768537566,80200
730,37.0,5.846323711,81300
740,36.0,5.925011899,82400
750,36.0,5.999597265,83500
760,36.0,6.076187717,84600
770,35.0,6.154429586,85700
780,37.0,6.231163207,86800
790,36.0,6.308646461,87900
800,37.0,6.392843743,89000
810,36.0,6.4706264,90100
820,36.0,6.54756134,91200
830,36.0,6.625371592,92300
840,37.0,6.708653271,93400
850,36.0,6.781568833,94500
860,38.0,6.862706315,95600
870,36.0,6.946052051,96700
880,37.0,7.021293259,97800
890,36.0,7.101955567,98900
900,37.0,7.176491708,100000
910,36.0,7.25070421,101100
920,38.0,7.326456223,102200
930,36.0,7.4027543,103300
940,36.0,7.479652759,104400
950,36.0,7.562546783,105500
960,36.0,7.636210419,106600
970,36.0,7.715562949,107700
980,35.0,7.793248572,108800
990,36.0,7.866384727,109900
1000,36.0,7.950596415,111000
1010,36.0,8.030157299,112100
1020,36.0,8.107994556,113200
1030,36.0,8.188341922,114300
1040,36.0,8.270664043,115400
1050,36.0,8.347137107,116500
1060,36.0,8.428973817,117600
1070,36.0,8.50052444,118700
1080,36.0,8.573287769,119800
1090,36.0,8.652441819,120900
1100,36.0,8.728865017,122000
1110,35.0,8.804433467,123100
1120,35.0,8.88157722,124200
1130,36.0,8.961374049,125300
1140,36.0,9.037579691,126400
1150,36.0,9.114851983,127500
1160,36.0,9.188109506,128600
1170,36.0,9.269023542,129700
1180,36.0,9.344828134,130800
1190,36.0,9.423617412,131900
1200,36.0,9.496553134,133000
1210,36.0,9.573574116,134100
1220,36.0,9.64891788,135200
1230,36.0,9.725280823,136300
1240,35.0,9.803059484,137400
1250,36.0,9.884083604,138500
1260,36.0,9.957435696,139600
1270,36.0,10.032302148,140700
1280,36.0,10.112735564,141800
1290,36.0,10.191163335,142900
1300,36.0,10.26722003,144000
1310,36.0,10.343539208,145100
1320,36.0,10.420501027,146200
1330,36.0,10.499541166,147300
1340,36.0,10.573205563,148400
1350,36.0,10.655595553,149500
1360,36.0,10.734837425,150600
1370,35.0,10.814889832,151700
1380,36.0,10.891019311,152800
1390,36.0,10.966778506,153900
1400,36.0,11.042932759,155000
1410,36.0,11.117859222,156100
1420,36.0,11.194141584,157200
1430,35.0,11.271021544,158300
1440,36.0,11.348036926,159400
1450,37.0,11.424730812,160500
1460,36.0,11.498308642,161600
1470,36.0,11.574588385,162700
1480,36.0,11.650334808,163800
1490,37.0,11.72844554,164900
1500,37.0,11.804492686,166000
1510,38.0,11.88288239,167100
1520,37.0,11.963651339,168200
1530,37.0,12.037981173,169300
1540,37.0,12.118946844,170400
1550,37.0,12.198487656,171500
1560,38.0,12.283066162,172600
1570,38.0,12.359132342,173700
1580,37.0,12.431798308,174800
1590,37.0,12.508210803,175900
1600,36.0,12.590709568,177000
1610,37.0,12.667651294,178100
1620,37.0,12.740081581,179200
1630,37.0,12.817865042,180300
1640,37.0,12.894052837,181400
1650,37.0,12.971047295,182500
1660,37.0,13.047691296,183600
1670,37.0,13.121624398,184700
1680,37.0,13.195122234,185800
1690,37.0,13.274850219,186900
1700,38.0,13.347026031,188000
1710,39.0,13.423408077,189100
1720,37.0,13.498523136,190200
1730,37.0,13.576130613,191300
1740,37.0,13.65287184,192400
1750,37.0,13.730097655,193500
1760,37.0,13.801412173,194600
1770,43.0,13.883680286,195700
1780,37.0,13.959824771,196800
1790,38.0,14.037724201,197900
1800,36.0,14.114303218,199000
1810,37.0,14.189971484,200100
1820,37.0,14.2708617,201200
1830,37.0,14.347424698,202300
1840,37.0,14.424077683,203400
1850,37.0,14.498670453,204500
1860,37.0,14.573181328,205600
1870,37.0,14.650864287,206700
1880,37.0,14.731393334,207800
1890,37.0,14.810679804,208900
1900,36.0,14.885704207,210000
1910,37.0,14.958679189,211100
1920,44.0,15.036788369,212200
1930,37.0,15.111688129,213300
1940,37.0,15.186422849,214400
1950,37.0,15.263554636,215500
1960,37.0,15.339712215,216600
1970,37.0,15.414987156,217700
1980,37.0,15.490574018,218800
1990,38.0,15.565835712,219900
2000,38.0,15.640132575,221000
2010,37.0,15.719827722,222100
2020,37.0,15.795299139,223200
2030,38.0,15.873882566,224300
2040,37.0,15.947987601,225400
2050,37.0,16.024126697,226500
2060,38.0,16.105082141,227600
2070,38.0,16.180462718,228700
2080,39.0,16.255031472,229800
2090,37.0,16.338143286,230900
2100,37.0,16.412237127,232000
2110,37.0,16.486943617,233100
2120,38.0,16.561538926,234200
2130,38.0,16.650598522,235300
2140,37.0,16.734177477,236400
2150,37.0,16.814973053,237500
2160,37.0,16.893169653,238600
2170,38.0,16.970465643,239700
2180,36.0,17.045869785,240800
2190,38.0,17.118878582,241900
2200,37.0,17.196746778,243000
2210,37.0,17.278952625,244100
2220,37.0,17.353280593,245200
2230,37.0,17.430976543,246300
2240,36.0,17.506551249,247400
2250,37.0,17.58413221,248500
2260,37.0,17.657947148,249600
2270,36.0,17.730657858,250700
2280,37.0,17.808839526,251800
2290,37.0,17.886822977,252900
2300,37.0,17.96402441,254000
2310,37.0,18.039070533,255100
2320,44.0,18.115416448,256200
2330,36.0,18.196381297,257300
2340,37.0,18.276661785,258400
2350,44.0,18.35310304,259500
2360,37.0,18.423242171,260600
2370,37.0,18.499697625,261700
2380,37.0,18.573898926,262800
2390,39.0,18.650287162,263900
2400,37.0,18.727380937,265000
2410,37.0,18.802766901,266100
2420,38.0,18.879385142,267200
2430,38.0,18.951890709,268300
2440,37.0,19.031679267,269400
2450,37.0,19.108667295,270500
2460,36.0,19.184475291,271600
2470,37.0,19.259600663,272700
2480,37.0,19.343161651,273800
2490,38.0,19.41823034,274900
2500,38.0,19.499567635,276000
2510,38.0,19.580416359,277100
2520,37.0,19.660967529,278200
2530,37.0,19.740647121,279300
2540,38.0,19.815724029,280400
2550,37.0,19.8915778,281500
2560,37.0,19.963695479,282600
2570,42.0,20.044288674,283700
2580,38.0,20.123717319,284800
2590,48.0,20.203483606,285900
2600,52.0,20.289604006,287000
2610,51.0,20.372871991,288100
2620,49.0,20.458598797,289200
2630,51.0,20.544528191,290300
2640,53.0,20.62612043,291400
2650,51.0,20.71151587,292500
2660,54.0,20.795014597,293600
2670,52.0,20.870618925,294700
2680,53.0,20.945598014,295800
2690,52.0,21.019566452,296900
2700,52.0,21.095509937,298000
2710,53.0,21.171438128,299100
2720,52.0,21.246625356,300200
2730,52.0,21.325280153,301300
2740,53.0,21.399839153,302400
2750,53.0,21.472095337,303500
2760,52.0,21.545655655,304600
2770,52.0,21.622932956,305700
2780,53.0,21.698310007,306800
2790,52.0,21.772455831,307900
2800,53.0,21.852795384,309000
2810,53.0,21.92774651,310100
2820,53.0,22.003265698,311200
2830,52.0,22.07896493,312300
2840,52.0,22.156087975,313400
2850,52.0,22.230213356,314500
2860,52.0,22.302087627,315600
2870,52.0,22.383125428,316700
2880,56.0,22.459199157,317800
2890,53.0,22.537939554,318900
2900,53.0,22.616543801,320000
2910,52.0,22.693175618,321100
2920,51.0,22.77220907,322200
2930,53.0,22.845457872,323300
2940,54.0,22.924509109,324400
2950,53.0,22.99673447,325500
2960,52.0,23.071903585,326600
2970,53.0,23.148817805,327700
2980,54.0,23.22278731,328800
2990,52.0,23.293991359,329900
3000,53.0,23.369272298,331000
3010,53.0,23.446378189,332100
3020,52.0,23.517828527,333200
3030,52.0,23.591626735,334300
3040,52.0,23.668234677,335400
3050,52.0,23.744998339,336500
3060,52.0,23.821123434,337600
3070,52.0,23.895153376,338700
3080,52.0,23.975105583,339800
3090,52.0,24.046701924,340900
3100,52.0,24.118792812,342000
3110,52.0,24.194522676,343100
3120,52.0,24.267445983,344200
3130,57.0,24.344071803,345300
3140,52.0,24.419030065,346400
3150,55.0,24.490757576,347500
3160,57.0,24.566607476,348600
3170,58.0,24.647080128,349700
3180,53.0,24.721432225,350800
3190,57.0,24.798098233,351900
3200,55.0,24.870163298,353000
3210,58.0,24.945440111,354100
3220,54.0,25.021630205,355200
3230,54.0,25.096736027,356300
3240,54.0,25.171426001,357400
3250,57.0,25.244584184,358500
3260,56.0,25.321778312,359600
3270,54.0,25.391899675,360700
3280,57.0,25.468904792,361800
3290,56.0,25.539968089,362900
3300,58.0,25.611757961,364000
3310,56.0,25.687260371,365100
3320,57.0,25.762032461,366200
3330,58.0,25.837182499,367300
3340,56.0,25.916891211,368400
3350,57.0,25.989531872,369500
3360,57.0,26.062874259,370600
3370,57.0,26.142535805,371700
3380,57.0,26.215971409,372800
3390,57.0,26.293554552,373900
3400,56.0,26.370218793,375000
3410,54.0,26.442795096,376100
3420,55.0,26.521326175,377200
3430,55.0,26.597109642,378300
3440,57.0,26.672223896,379400
3450,56.0,26.747238764,380500
3460,55.0,26.822120226,381600
3470,55.0,26.892154795,382700
3480,55.0,26.969019723,383800
3490,56.0,27.043805353,384900
3500,55.0,27.11713482,386000
3510,55.0,27.193848229,387100
3520,58.0,27.269059771,388200
3530,57.0,27.348460609,389300
3540,57.0,27.429092279,390400
3550,55.0,27.501879489,391500
3560,55.0,27.581089433,392600
3570,55.0,27.65592117,393700
3580,55.0,27.728226609,394800
3590,57.0,27.80701214,395900
3600,60.0,27.888412775,397000
3610,59.0,27.965161051,398100
3620,57.0,28.039651077,399200
3630,56.0,28.115332023,400300
3640,56.0,28.192824564,401400
3650,57.0,28.270996235,402500
3660,57.0,28.348140573,403600
3670,56.0,28.423019137,404700
3680,56.0,28.495318551,405800
3690,56.0,28.572345798,406900
3700,57.0,28.645870094,408000
3710,56.0,28.722227352,409100
3720,57.0,28.794892162,410200
3730,56.0,28.871046756,411300
3740,57.0,28.943976301,412400
3750,56.0,29.016800798,413500
3760,56.0,29.100941481,414600
3770,58.0,29.173700104,415700
3780,56.0,29.245804483,416800
3790,57.0,29.319549514,417900
3800,56.0,29.394951143,419000
3810,57.0,29.471887651,420100
3820,56.0,29.549399534,421200
3830,56.0,29.62363264,422300
3840,56.0,29.699473943,423400
3850,57.0,29.773439564,424500
3860,58.0,29.850938816,425600
3870,56.0,29.931931484,426700
3880,56.0,30.01020538,427800
3890,56.0,30.081724772,428900
3900,56.0,30.163850182,430000
3910,56.0,30.237367678,431100
3920,56.0,30.308958401,432200
3930,56.0,30.380093428,433300
3940,58.0,30.455775468,434400
3950,56.0,30.53079324,435500
3960,56.0,30.606217051,436600
3970,58.0,30.681219185,437700
3980,56.0,30.754887217,438800
3990,58.0,30.834893271,439900
4000,59.0,30.908131433,441000
4010,56.0,30.981793562,442100
4020,55.0,31.055393796,443200
4030,56.0,31.127437646,444300
4040,58.0,31.205180421,445400
4050,57.0,31.281509491,446500
4060,57.0,31.361740732,447600
4070,58.0,31.436572639,448700
4080,57.0,31.514436663,449800
4090,57.0,31.592020002,450900
4100,57.0,31.669004967,452000
4110,57.0,31.740596197,453100
4120,59.0,31.817339914,454200
4130,58.0,31.893308594,455300
4140,57.0,31.969677711,456400
4150,59.0,32.044541375,457500
4160,57.0,32.118838499,458600
4170,57.0,32.189820831,459700
4180,56.0,32.265045525,460800
4190,56.0,32.336867146,461900
4200,57.0,32.40919399,463000
4210,57.0,32.488854942,464100
4220,58.0,32.562161996,465200
4230,57.0,32.635752323,466300
4240,57.0,32.711607016,467400
4250,58.0,32.787947962,468500
4260,58.0,32.863320808,469600
4270,58.0,32.937288329,470700
4280,58.0,33.011723035,471800
4290,58.0,33.082184885,472900
4300,58.0,33.155286375,474000
