iterations,fitness,time,fevals
0,20.0,0.108950271,1000
10,27.0,0.212823317,2100
20,33.0,0.318482085,3200
30,40.0,0.411518856,4300
40,40.0,0.499166636,5400
50,43.0,0.580356887,6500
60,45.0,0.670922145,7600
70,45.0,0.755813853,8700
80,46.0,0.841924652,9800
90,45.0,0.925788796,10900
100,47.0,1.009533262,12000
110,46.0,1.088370157,13100
120,48.0,1.170741521,14200
130,48.0,1.249045371,15300
140,46.0,1.333629771,16400
150,48.0,1.414670663,17500
160,47.0,1.496902529,18600
170,47.0,1.583239956,19700
180,52.0,1.663124562,20800
190,64.0,1.741788915,21900
200,51.0,1.824562032,23000
210,50.0,1.904701083,24100
220,51.0,1.985786773,25200
230,53.0,2.065852213,26300
240,48.0,2.148714489,27400
250,47.0,2.227628834,28500
260,50.0,2.305625694,29600
270,55.0,2.387878794,30700
280,51.0,2.468441489,31800
290,49.0,2.552072817,32900
300,53.0,2.63495532,34000
310,52.0,2.718473626,35100
320,51.0,2.804526345,36200
330,55.0,2.886298797,37300
340,63.0,2.964850884,38400
350,49.0,3.042891835,39500
360,51.0,3.125503234,40600
370,50.0,3.210253039,41700
380,49.0,3.293073512,42800
390,48.0,3.372557649,43900
400,50.0,3.448201665,45000
410,51.0,3.52828527,46100
420,51.0,3.621210747,47200
430,52.0,3.714098702,48300
440,54.0,3.800014019,49400
450,50.0,3.886295121,50500
460,54.0,3.970688478,51600
470,50.0,4.052544592,52700
480,53.0,4.135862331,53800
490,53.0,4.216297774,54900
500,52.0,4.292859599,56000
510,55.0,4.373812292,57100
520,54.0,4.448173464,58200
530,52.0,4.527425144,59300
540,56.0,4.606583278,60400
550,54.0,4.687251428,61500
560,52.0,4.771461517,62600
570,50.0,4.846732971,63700
580,51.0,4.92406863,64800
590,52.0,5.002017304,65900
600,52.0,5.082965432,67000
610,51.0,5.159354124,68100
620,54.0,5.234686405,69200
630,55.0,5.315972996,70300
640,51.0,5.39778926,71400
650,55.0,5.475525801,72500
660,58.0,5.559268936,73600
670,50.0,5.641456003,74700
680,49.0,5.725517285,75800
690,52.0,5.802626588,76900
700,51.0,5.880991175,78000
710,53.0,5.961387547,79100
720,52.0,6.042751942,80200
730,55.0,6.119639111,81300
740,52.0,6.202360614,82400
750,55.0,6.280462606,83500
760,53.0,6.359878026,84600
770,55.0,6.439287253,85700
780,51.0,6.517632297,86800
790,51.0,6.601527723,87900
800,51.0,6.686547058,89000
810,54.0,6.765862807,90100
820,51.0,6.845438855,91200
830,52.0,6.924339203,92300
840,50.0,7.013967823,93400
850,52.0,7.092726008,94500
860,51.0,7.170794348,95600
870,53.0,7.252472468,96700
880,52.0,7.337680786,97800
890,49.0,7.420543166,98900
900,62.0,7.50453437,100000
910,50.0,7.591098275,101100
920,54.0,7.678622855,102200
930,58.0,7.760286171,103300
940,59.0,7.842204337,104400
950,60.0,7.92516617,105500
960,56.0,8.007636359,106600
970,58.0,8.096231912,107700
980,58.0,8.184781133,108800
990,57.0,8.275759066,109900
1000,60.0,8.357700584,111000
1010,60.0,8.438098799,112100
1020,61.0,8.519775182,113200
1030,61.0,8.601468669,114300
1040,60.0,8.68321005,115400
1050,60.0,8.761086162,116500
1060,60.0,8.842996077,117600
1070,60.0,8.929881083,118700
1080,62.0,9.010185256,119800
1090,53.0,9.098883162,120900
1100,56.0,9.181053368,122000
1110,56.0,9.266681826,123100
1120,57.0,9.351445414,124200
1130,59.0,9.438130373,125300
1140,57.0,9.528034941,126400
