iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
350,0.123139006125,0.122222829546,0.121997310366,0.709555568671,0.710418633931,0.71318854265,0.777782795213,0.778526721233,0.781339988481,28228.8963716
360,0.125199860814,0.124141743945,0.123856172556,0.708394813984,0.709710418634,0.711362920995,0.777059142049,0.778211988216,0.780422393564,28993.5881063
370,0.12422440014,0.122995390104,0.123103863591,0.707273406913,0.708923512748,0.710859301228,0.773265470948,0.774657325617,0.776833001312,29807.0531225
380,0.125283172755,0.123818935376,0.1241021747,0.704027228551,0.706326723324,0.706830343091,0.77035567089,0.772049841192,0.773370966957,30607.6613689
390,0.124107720835,0.122908075777,0.123080253181,0.706958625981,0.709238275102,0.709915014164,0.774594815454,0.776507590879,0.778162911612,31410.0751187
400,0.125680100847,0.124390793219,0.124547475395,0.703023864329,0.706011960969,0.705949008499,0.769016541445,0.770994238078,0.772246330879,32194.7845967
410,0.123834046568,0.122367613473,0.122783491813,0.707568514037,0.710025180988,0.710166824048,0.776843622388,0.778983986085,0.77994455597,33007.7391349
420,0.12449850046,0.12321692486,0.123530694934,0.704558421374,0.707507082153,0.708467107334,0.772941016375,0.775448559174,0.777173651542,33830.6023574
430,0.12355947932,0.122296869837,0.12262499048,0.707293080722,0.709159584514,0.710040919106,0.775893233717,0.777376219733,0.779384998563,34631.8274606
440,0.124698453935,0.123361253472,0.123681674212,0.705974935568,0.707900535096,0.709348441926,0.772647752339,0.774264169302,0.776145454545,35434.2159656
450,0.125503279914,0.124234512446,0.124415270471,0.704932223731,0.705303745672,0.708844822159,0.771872718423,0.77210491085,0.776083272815,36234.9684113
460,0.123786353098,0.122463803983,0.12282720001,0.70855220445,0.710418633931,0.710670443815,0.775375284306,0.776671926205,0.778056789647,37039.2268208
470,0.126064617218,0.124652889655,0.125089963643,0.703397666686,0.705225055083,0.707522820271,0.771721026014,0.773217096501,0.776074802391,37845.6171501
480,0.125498500849,0.124138202972,0.12440879852,0.704814180881,0.707428391564,0.707837582625,0.772031117054,0.774091627172,0.775221581828,38644.7527086
490,0.124810054727,0.12348046047,0.123757807551,0.706604497433,0.708293988039,0.709159584514,0.77395983327,0.77529247742,0.776962440861,39439.4586762
