iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.20469776679,0.203054506782,0.204524655344,0.54028212241,0.541469940195,0.54095058231,0.666390645746,0.666170151819,0.665596624782,6.915846271
10,0.205834099893,0.203835084496,0.205530245745,0.526982628027,0.532263141328,0.528297135663,0.64742715528,0.651009863786,0.647404828008,61.526322854
20,0.20582464067,0.20375842132,0.205602200087,0.527789254166,0.533364809569,0.52955618508,0.648744365744,0.65219941349,0.64933602365,118.837025429
30,0.208472038926,0.206432525228,0.208127252214,0.523657754432,0.528722064841,0.525401322002,0.64551550467,0.648965476818,0.645973233153,174.89388644
40,0.207904057243,0.205855105788,0.207629019668,0.526038285231,0.529508970727,0.528171230721,0.648250083955,0.650166754432,0.648995457313,232.886151374
50,0.207696711794,0.205736801888,0.20749849036,0.526746542328,0.531240163676,0.528989612842,0.649655554099,0.652470684324,0.650635039223,287.157314274
60,0.20774132101,0.205768131178,0.207450634035,0.527238387535,0.531397544854,0.529304375197,0.650157232704,0.652546823035,0.651015169195,344.975064717
70,0.206848263313,0.204845340102,0.206623937252,0.530071415924,0.534151715455,0.531759521561,0.654567015677,0.657010428737,0.654945258861,401.188802923
80,0.208173456554,0.206098320001,0.207752992813,0.525841547148,0.531554926031,0.527856468366,0.648052687685,0.651932409519,0.649139221557,458.759308289
90,0.209769848841,0.207697694127,0.209423859474,0.520647661768,0.526361347183,0.522316650929,0.644114339132,0.647991110591,0.645254791959,515.070995603
100,0.209652858388,0.207650824041,0.209399138141,0.521395266482,0.526912181303,0.522757318225,0.646394464875,0.649895178197,0.647214854111,571.803043473
110,0.209567833688,0.207513235213,0.209432159556,0.523028192567,0.526990871892,0.523072080579,0.647626522485,0.650055306515,0.647627906977,630.395337713
120,0.209830934613,0.207738036797,0.209616878206,0.522103523579,0.526597418949,0.522631413283,0.646259593121,0.648803269119,0.646463704602,687.039189078
130,0.209843335286,0.207732504585,0.209669240894,0.521946133113,0.52651872836,0.522127793516,0.646277021617,0.648847388386,0.645826529184,743.444402665
140,0.209491548124,0.20738110963,0.20930665885,0.523205256842,0.527226943658,0.522946175637,0.649149475208,0.651831247102,0.648254734497,800.157160412
150,0.211004228949,0.208991769313,0.210857666292,0.520234511794,0.523607176582,0.519798552093,0.64647723978,0.648350371747,0.645571972865,856.581523605
160,0.210956234174,0.208995943399,0.210679137234,0.520942768892,0.523528485993,0.520742839156,0.64775488948,0.649005854733,0.646974263853,910.554364548
170,0.21064798318,0.208684396077,0.210363837681,0.521729721222,0.525338369531,0.521875983632,0.648790776966,0.650885519157,0.64842845901,966.810894509
180,0.21228445536,0.210224709723,0.212049523856,0.518109740502,0.522741580107,0.517972930438,0.643360512522,0.646335063269,0.642913771394,1024.05680928
190,0.212056740881,0.209912048877,0.211807120024,0.518680280942,0.523764557759,0.518665407617,0.64368418753,0.646990200653,0.643277036484,1080.05704247
200,0.211895609726,0.209816662921,0.211725063086,0.518798323792,0.524472773056,0.518980169972,0.643605472905,0.647453474126,0.643493677973,1137.46652747
210,0.212828191102,0.210759557619,0.212635466177,0.516575183458,0.522348127164,0.517028643374,0.641043620533,0.644904644905,0.640891218873,1194.69098455
220,0.212663455008,0.2104983508,0.212275577171,0.517263766747,0.52368586717,0.519924457035,0.640604631406,0.644589278375,0.64190458302,1251.14194886
230,0.213785000914,0.21167353877,0.21344917388,0.514647150249,0.521089077746,0.515203021719,0.636639467405,0.640731995277,0.636144578313,1308.77239748
240,0.213660855727,0.211665253889,0.213335545959,0.51622105491,0.521325149512,0.515769593957,0.63964360034,0.642659930682,0.638601766585,1365.02307206
250,0.212206874875,0.210281022853,0.212138524737,0.514961931181,0.517862763613,0.515895498898,0.633299619229,0.634579829427,0.632865463573,1421.63429911
260,0.213055968055,0.211161188022,0.212982106356,0.513348678904,0.516603714196,0.513629209946,0.632659122635,0.634323471635,0.631674294432,1478.91870874
270,0.214614104895,0.21249259765,0.214579125621,0.50909913632,0.514872521246,0.509033679572,0.62835865356,0.631962270909,0.627465966086,1535.10792874
280,0.218629781662,0.216162153516,0.218527483023,0.502232977237,0.509915014164,0.500723953415,0.617480307818,0.624003863801,0.615541228368,1591.36815905
290,0.218819484003,0.216329919703,0.218770450372,0.500796789234,0.509521561221,0.499905571294,0.616591115141,0.623906353708,0.614742967992,1648.81938107
300,0.219033863997,0.216621697333,0.219109190938,0.501603415373,0.509757632987,0.500220333648,0.616822712628,0.623610439826,0.614779950507,1705.25928741
310,0.220326124273,0.21780516823,0.220487530999,0.499439296465,0.506610009443,0.49896128423,0.612627700553,0.618891320204,0.611509737883,1762.56745803
320,0.220189421651,0.217671774866,0.220335495741,0.499793425013,0.507632987095,0.499024236701,0.612972462819,0.619750835612,0.611539588011,1818.74464761
330,0.218149744223,0.215519121781,0.218230975709,0.503629817624,0.512354422411,0.502549575071,0.622113051553,0.628633067657,0.620096153846,1874.96795636
340,0.217792364789,0.215163101189,0.217929597982,0.505715241299,0.513613471829,0.505130626377,0.624757296054,0.630566015181,0.623208551023,1925.63458024
350,0.217176782042,0.214605684818,0.217426314255,0.506226760314,0.51408561536,0.505823103557,0.627382861215,0.633073860598,0.626154871893,1974.88834013
360,0.218416290491,0.21592982657,0.218528956267,0.503944598556,0.510623229462,0.503619767076,0.623952274422,0.628605553897,0.622709220537,2025.32580258
370,0.218534853815,0.216172202713,0.218686607623,0.504613508037,0.510937991816,0.503493862134,0.624313678682,0.628711392556,0.622505145264,2074.96557637
380,0.219126866508,0.216725548172,0.219256054993,0.503747860473,0.510544538873,0.502801384954,0.622576011492,0.627366403067,0.620434448289,2124.23829608
390,0.219085381019,0.216658009377,0.219213723201,0.503039603376,0.509757632987,0.501920050362,0.622297317504,0.626767313683,0.619725079304,2174.80883125
400,0.218735143222,0.2162989448,0.21883333317,0.502823191485,0.508970727101,0.501290525653,0.623287569131,0.62719560282,0.620484813644,2224.27972244
410,0.218315661882,0.215979047817,0.218477878221,0.504003619981,0.509521561221,0.502045955304,0.623766956677,0.627636059502,0.620732642885,2273.6645701
420,0.217831656228,0.215476601623,0.218010729955,0.502272324854,0.509128108278,0.500472143532,0.620095205202,0.625794841032,0.617202952386,2324.60538374
430,0.217899694669,0.215584772772,0.218115193145,0.502173955813,0.508734655335,0.500598048473,0.619282619162,0.624797163291,0.616744770279,2373.7880585
440,0.218879257591,0.216477474418,0.219062077498,0.499144189341,0.5062165565,0.498835379289,0.615913822757,0.621919624028,0.614348689628,2423.86367212
450,0.219092690252,0.216538816375,0.219443634445,0.500304944028,0.507239534152,0.499150141643,0.616694082671,0.622452670927,0.61434803684,2473.16614268
460,0.219369414848,0.216688544948,0.21973834712,0.500265596411,0.504800125905,0.498583569405,0.615840655767,0.619183055976,0.613368283093,2527.39563905
470,0.219789573954,0.217361943746,0.220401771934,0.499222884574,0.505350960025,0.498394711992,0.616691262838,0.621325301205,0.615703675123,2576.7008005
480,0.219213916636,0.216579471417,0.219971287834,0.499360601232,0.505193578848,0.499842618823,0.615865348328,0.620106331561,0.615905245347,2626.3749391
490,0.222171324746,0.219392795272,0.222956874707,0.496055401444,0.50338369531,0.496254327982,0.613364326576,0.618647652426,0.613280494877,2675.82859467
500,0.219727675384,0.217157487707,0.220582917709,0.500482008302,0.50566572238,0.499779666352,0.616221772121,0.620193470375,0.614982071906,2725.35133297
510,0.220354953127,0.217759350614,0.221085075617,0.498632670326,0.503226314133,0.499276046585,0.613328073317,0.616859865267,0.613357962279,2775.07791761
520,0.220834582533,0.218180662407,0.221491259305,0.497668653721,0.502675480013,0.498331759522,0.611860207044,0.615945551774,0.611968641963,2824.37856719
530,0.220749996548,0.217947720911,0.221379121403,0.498003108462,0.502596789424,0.498583569405,0.612041964421,0.615768038417,0.612012275318,2873.92649232
540,0.220571559964,0.217671573069,0.221149514266,0.49768832753,0.504327982373,0.498646521876,0.612117160914,0.617477379,0.612306494012,2923.53268085
550,0.221250004746,0.218259846359,0.221679699828,0.498081803695,0.503777148253,0.49965376141,0.610717773438,0.615159282314,0.611344743276,2974.22345101
560,0.221539349044,0.218474844952,0.221975880683,0.497412894214,0.502911551778,0.498835379289,0.609996641324,0.614323218756,0.610423293369,3023.43885824
570,0.220773120005,0.217953685956,0.221199042524,0.499203210766,0.503698457664,0.500283286119,0.61197237847,0.615544041451,0.612061382074,3073.90758092
580,0.221011074741,0.217946177238,0.221354799381,0.498731039367,0.504249291785,0.49889833176,0.611713070909,0.616134535706,0.611176240719,3123.2181998
590,0.221121838952,0.217999720504,0.221478484163,0.498337563202,0.505587031791,0.499842618823,0.611005171546,0.616633107572,0.61147244364,3173.22822221
600,0.222651523187,0.219518584983,0.222927105193,0.496291487143,0.502675480013,0.497702234813,0.607044739467,0.612079548245,0.607158682487,3222.33491595
610,0.221895071648,0.218593170761,0.222295993922,0.497078439474,0.504091910607,0.498583569405,0.607441760469,0.612899262899,0.607963774179,3272.17422171
620,0.221821078483,0.218375029957,0.222136424394,0.497806370379,0.504327982373,0.498646521876,0.609216166565,0.613866241648,0.609109649553,3321.39114024
630,0.222272857401,0.218794617914,0.222545634317,0.496743984733,0.502439408247,0.49820585458,0.607656676585,0.611442266331,0.607977179954,3370.56803028
640,0.221379538557,0.217960468146,0.221727538313,0.498317889394,0.50338369531,0.49889833176,0.610187110187,0.613746251301,0.609956879655,3420.8158059
650,0.22140387208,0.217843808944,0.221689288661,0.497885065612,0.504721435316,0.498583569405,0.609540419803,0.614621601763,0.609577961865,3470.24893978
