iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.173026270032,0.172923997411,0.172058134898,0.653229455626,0.653289266604,0.655272269437,0.778350645104,0.778303310858,0.779371474617,21.53644
10,0.127296150688,0.127537324437,0.131278756336,0.728186665093,0.728281397545,0.720176266918,0.747477701418,0.747384592874,0.74116345426,210.290999556
20,0.096326877512,0.0996945116403,0.105053708822,0.778590961852,0.773213723639,0.759332703809,0.817079513686,0.81275987526,0.80221428941,393.225094088
30,0.091427493015,0.0968057964001,0.100975360738,0.778512266619,0.766131570664,0.760906515581,0.818255198244,0.807288289457,0.804448563485,569.604042106
40,0.0841499437266,0.0903770589095,0.0938875486382,0.790985461056,0.781554926031,0.774000629525,0.830184457019,0.822233606557,0.817302798982,745.104943093
50,0.0788044658144,0.086365115859,0.0887005315751,0.802533986504,0.787928863708,0.785143216871,0.842128442676,0.829807388696,0.828621641978,920.600088593
60,0.0758930911016,0.0839922346087,0.0869679800662,0.806862224321,0.79060434372,0.785709789109,0.845438085492,0.831592937156,0.829064979411,1095.37916808
70,0.0742361625498,0.0835444729331,0.0860559274721,0.807570481418,0.791548630784,0.783191690274,0.844452219271,0.831026344326,0.825213154689,1271.48970231
80,0.071416782448,0.0812035774076,0.0838120748455,0.816659780834,0.796348756689,0.789864652188,0.854206104601,0.8374167609,0.833266733267,1447.43150349
90,0.0698653879828,0.0806524396979,0.0831263559149,0.818036947412,0.797922568461,0.791249606547,0.855174357609,0.838388923851,0.834266293483,1622.90689535
100,0.0682702665365,0.0795422038169,0.0816191571319,0.821440516241,0.797214353163,0.79288637079,0.858236231295,0.837934721087,0.836024720893,1798.93818443
110,0.0670719580865,0.0789196364735,0.0806404196014,0.82439158748,0.800991501416,0.79357884797,0.86062706889,0.840953399157,0.836499626028,1974.01733073
120,0.0661179753934,0.0785827516461,0.0799794918473,0.826280273072,0.802014479068,0.794837897387,0.862220696542,0.842217484009,0.837755762433,2148.67544824
130,0.0651200964666,0.0778073403764,0.0789105928007,0.828365696748,0.803903053195,0.798489140699,0.864399403134,0.844288927768,0.84136974082,2322.63827778
140,0.0642098789588,0.077080319671,0.0780549855924,0.830156013299,0.80531948379,0.799559332704,0.866322912312,0.846029375156,0.842516569394,2496.75613234
150,0.0636341723466,0.076818279696,0.0777328398469,0.830883944205,0.804768649669,0.799559332704,0.866471977134,0.845256658143,0.842094822456,2672.86646493
160,0.0629851865919,0.0762123951895,0.0772760870754,0.832930020264,0.807208057916,0.800755429651,0.867931570762,0.846970643348,0.842764171096,2847.70934447
170,0.0624448917455,0.0760028448504,0.0770569471965,0.833244801196,0.806499842619,0.801196096947,0.86806550028,0.846052713955,0.843135306974,3022.49761448
180,0.0619781733392,0.0758536022443,0.0769286307093,0.833441539279,0.805240793201,0.802077431539,0.867842647518,0.844427682444,0.843519808879,3196.60487039
190,0.0612334376484,0.0750371811126,0.0761756306848,0.835959786736,0.808781869688,0.804154863078,0.870896816549,0.848579262213,0.846119602315,3372.12499895
200,0.0608443890474,0.0750309666119,0.076048039207,0.836117177202,0.808073654391,0.804469625433,0.870880739064,0.848084708813,0.846176703645,3553.63845937
210,0.0604432945828,0.074848883547,0.0757238831045,0.83625489386,0.808939250866,0.804910292729,0.870947234584,0.848609552313,0.846561370501,3729.46274988
220,0.059966091639,0.0743454922424,0.0752460779545,0.83839933896,0.80980484734,0.805980484734,0.873209434428,0.849885100304,0.847982637861,3904.32285823
230,0.0594641218493,0.0740639026455,0.0749390032033,0.839028900824,0.810591753226,0.806106389676,0.873547230465,0.850431864786,0.848006316621,4079.2349988
